id,product_id,order_id,amount,sub_total,bonus,"created_at","updated_at","deleted_at"
205,49,105,1.00,12000,0,"2017-05-01 11:42:43","2017-05-06 09:14:33",NULL
206,30,106,1.00,690000,0,"2017-05-02 20:37:01","2017-05-02 20:37:01",NULL
207,15,107,1.00,13000,500,"2017-05-03 21:50:15","2017-05-06 09:20:47",NULL
208,49,108,10.00,1500000,0,"2017-05-03 21:53:59","2017-05-07 18:16:57",NULL
209,51,109,0.00,0,0,"2017-05-03 22:12:50","2017-05-03 22:12:50",NULL
210,15,110,1.00,27500,500,"2017-05-03 22:22:37","2017-05-03 22:22:37",NULL
211,79,110,1.00,9000,0,"2017-05-03 22:22:37","2017-05-03 22:22:37",NULL
212,64,111,1.00,19000,0,"2017-05-03 22:24:01","2017-05-03 22:24:01",NULL
213,63,112,0.00,0,0,"2017-05-06 06:34:27","2017-05-06 06:34:27",NULL
214,49,113,1.00,12000,0,"2017-05-07 15:47:58","2017-05-07 15:47:58",NULL
215,50,114,1.00,20000,0,"2017-05-07 17:24:06","2017-05-07 17:24:06",NULL
216,50,115,1.00,20000,0,"2017-05-07 17:56:08","2017-05-07 17:56:08",NULL
217,49,116,1.00,140000,0,"2017-05-07 18:40:02","2017-05-07 18:40:02",NULL
218,52,117,4.00,120000,0,"2017-05-08 21:46:39","2017-05-08 21:46:39",NULL
219,39,117,10.00,800000,0,"2017-05-08 21:46:39","2017-05-08 21:46:39",NULL
220,17,118,10.00,124200,5000,"2017-05-08 23:39:17","2017-05-08 23:39:17",NULL
221,53,119,10.00,200000,5000,"2017-05-09 08:41:31","2017-05-09 08:41:31",NULL
